zip,city,state,latitude,longitude,population
98802,East Wenatchee,WA,47.5,-120.2,28719
60611,Chicago,IL,41.91,-87.61,28718
98273,Mount Vernon,WA,48.4,-122.4,28717
90028,Los Angeles,CA,34.1,-118.33,28714
37172,Springfield,TN,36.5,-86.9,28714
78332,Alice,TX,27.7,-98.1,28710
77377,Tomball,TX,30.06,-95.68,28708
70806,Baton Rouge,LA,30.45,-91.12,28706
27455,Greensboro,NC,36.18,-79.82,28706
28803,Asheville,NC,35.54,-82.52,28693
77014,Houston,TX,29.99,-95.46,28684
75232,Dallas,TX,32.66,-96.84,28682
43512,Defiance,OH,41.3,-84.4,28674
01876,Tewksbury,MA,42.61,-71.23,28667
33917,North Fort Myers,FL,26.8,-81.8,28666
92107,San Diego,CA,32.74,-117.24,28651
10598,Yorktown Heights,NY,41.29,-73.79,28647
60631,Chicago,IL,42.0,-87.82,28641
08205,Absecon,NJ,39.49,-74.47,28626
15206,Pittsburgh,PA,40.47,-79.91,28615
97355,Lebanon,OR,44.5,-122.8,28613
83651,Nampa,ID,43.6,-116.6,28611
11361,Bayside,NY,40.76,-73.77,28606
00703,Aguas Buenas,PR,18.25,-66.13,28605
02062,Norwood,MA,42.18,-71.2,28602
77407,Richmond,TX,29.66,-95.73,28595
95131,San Jose,CA,37.38,-121.89,28565
60134,Geneva,IL,41.89,-88.31,28565
45244,Cincinnati,OH,39.12,-84.33,28565
70122,New Orleans,LA,30.01,-90.07,28564
18301,East Stroudsburg,PA,41.0,-75.1,28561
72653,Mountain Home,AR,36.3,-92.4,28560
49024,Portage,MI,42.2,-85.62,28552
60655,Chicago,IL,41.7,-87.71,28550
61108,Rockford,IL,42.26,-89.0,28550
65721,Ozark,MO,37.1,-93.2,28550
22152,Springfield,VA,38.78,-77.23,28550
31021,Dublin,GA,32.5,-82.9,28549
30329,Atlanta,GA,33.83,-84.33,28539
14616,Rochester,NY,43.23,-77.66,28534
95492,Windsor,CA,38.53,-122.82,28532
77583,Rosharon,TX,29.4,-95.4,28531
28211,Charlotte,NC,35.17,-80.79,28523
77049,Houston,TX,29.84,-95.15,28521
90039,Los Angeles,CA,34.12,-118.26,28514
11763,Medford,NY,40.83,-72.99,28506
23505,Norfolk,VA,36.93,-76.29,28503
33026,Hollywood,FL,26.03,-80.3,28498
20136,Bristow,VA,38.74,-77.55,28498
55414,Minneapolis,MN,44.98,-93.23,28495
97220,Portland,OR,45.56,-122.55,28495
66801,Emporia,KS,38.4,-96.2,28492
02136,Hyde Park,MA,42.25,-71.13,28488
53719,Madison,WI,43.03,-89.5,28487
27104,Winston Salem,NC,36.1,-80.32,28485
55912,Austin,MN,43.7,-93.0,28483
81504,Grand Junction,CO,39.08,-108.49,28481
85053,Phoenix,AZ,33.63,-112.13,28480
29440,Georgetown,SC,33.4,-79.4,28469
55105,Saint Paul,MN,44.93,-93.16,28455
97304,Salem,OR,45.0,-123.1,28454
20745,Oxon Hill,MD,38.81,-76.99,28451
16335,Meadville,PA,41.6,-80.2,28445
22602,Winchester,VA,39.2,-78.3,28443
02115,Boston,MA,42.34,-71.1,28441
80120,Littleton,CO,39.6,-105.01,28435
73533,Duncan,OK,34.5,-97.9,28434
15650,Latrobe,PA,40.3,-79.4,28432
15010,Beaver Falls,PA,40.8,-80.4,28425
76053,Hurst,TX,32.82,-97.17,28421
90035,Los Angeles,CA,34.05,-118.39,28418
66044,Lawrence,KS,39.0,-95.2,28417
78212,San Antonio,TX,29.46,-98.49,28415
93420,Arroyo Grande,CA,35.1,-120.4,28413
79930,El Paso,TX,31.82,-106.46,28410
48203,Highland Park,MI,42.42,-83.1,28409
30507,Gainesville,GA,34.3,-83.8,28399
01089,West Springfield,MA,42.12,-72.64,28391
02906,Providence,RI,41.84,-71.39,28387
33952,Port Charlotte,FL,26.99,-82.09,28382
76131,Fort Worth,TX,32.88,-97.35,28374
58701,Minot,ND,48.1,-101.3,28368
18360,Stroudsburg,PA,41.0,-75.3,28362
94043,Mountain View,CA,37.41,-122.09,28358
01845,North Andover,MA,42.67,-71.08,28352
07110,Nutley,NJ,40.82,-74.16,28351
43605,Toledo,OH,41.65,-83.51,28346
90291,Venice,CA,33.99,-118.46,28341
61109,Rockford,IL,42.19,-89.08,28333
78723,Austin,TX,30.3,-97.69,28330
94602,Oakland,CA,37.8,-122.2,28329
15146,Monroeville,PA,40.42,-79.76,28323
07018,East Orange,NJ,40.76,-74.22,28322
58104,Fargo,ND,46.79,-96.84,28322
45239,Cincinnati,OH,39.2,-84.58,28315
20148,Ashburn,VA,39.0,-77.52,28310
81301,Durango,CO,37.4,-107.8,28308
97068,West Linn,OR,45.34,-122.66,28305
52732,Clinton,IA,41.9,-90.3,28293
75455,Mount Pleasant,TX,33.2,-95.0,28293
17268,Waynesboro,PA,39.8,-77.6,28285
97132,Newberg,OR,45.3,-123.0,28278
11232,Brooklyn,NY,40.64,-74.02,28265
48867,Owosso,MI,43.0,-84.2,28264
94585,Suisun City,CA,38.2,-121.9,28263
93618,Dinuba,CA,36.52,-119.39,28262
72703,Fayetteville,AR,36.1,-94.1,28261
77706,Beaumont,TX,30.1,-94.17,28258
68134,Omaha,NE,41.3,-96.05,28257
95472,Sebastopol,CA,38.4,-122.9,28255
14606,Rochester,NY,43.17,-77.69,28255
31525,Brunswick,GA,31.3,-81.5,28247
40004,Bardstown,KY,37.8,-85.5,28245
32092,Saint Augustine,FL,29.9,-81.5,28242
37921,Knoxville,TN,35.98,-83.99,28233
32205,Jacksonville,FL,30.3,-81.73,28225
24541,Danville,VA,36.6,-79.5,28221
33308,Fort Lauderdale,FL,26.19,-80.11,28217
02889,Warwick,RI,41.7,-71.39,28217
32505,Pensacola,FL,30.45,-87.26,28213
90304,Inglewood,CA,33.94,-118.36,28210
53206,Milwaukee,WI,43.08,-87.93,28210
76182,North Richland Hills,TX,32.89,-97.21,28209
48101,Allen Park,MI,42.26,-83.21,28200
37919,Knoxville,TN,35.91,-84.0,28194
68601,Columbus,NE,41.5,-97.4,28185
05401,Burlington,VT,44.48,-73.2,28185
33990,Cape Coral,FL,26.63,-81.94,28173
85120,Apache Junction,AZ,33.41,-111.58,28168
08330,Mays Landing,NJ,39.5,-74.7,28167
29646,Greenwood,SC,34.1,-82.1,28159
15227,Pittsburgh,PA,40.38,-79.97,28156
54304,Green Bay,WI,44.49,-88.07,28153
70663,Sulphur,LA,30.3,-93.4,28150
75087,Rockwall,TX,32.94,-96.44,28145
29154,Sumter,SC,33.9,-80.5,28135
75110,Corsicana,TX,32.1,-96.5,28132
98512,Olympia,WA,46.9,-123.1,28130
94132,San Francisco,CA,37.72,-122.48,28129
11803,Plainview,NY,40.78,-73.47,28127
53210,Milwaukee,WI,43.07,-87.98,28126
55128,Saint Paul,MN,44.99,-92.96,28113
83713,Boise,ID,43.63,-116.34,28103
28150,Shelby,NC,35.4,-81.6,28098
23518,Norfolk,VA,36.91,-76.22,28095
50014,Ames,IA,42.1,-93.7,28094
32927,Cocoa,FL,28.47,-80.81,28092
34786,Windermere,FL,28.48,-81.56,28092
31093,Warner Robins,GA,32.65,-83.65,28087
33442,Deerfield Beach,FL,26.31,-80.14,28075
19050,Lansdowne,PA,39.94,-75.26,28073
84094,Sandy,UT,40.57,-111.86,28069
01757,Milford,MA,42.15,-71.52,28061
16066,Cranberry Twp,PA,40.71,-80.1,28060
74017,Claremore,OK,36.4,-95.6,28057
58501,Bismarck,ND,46.8,-100.7,28055
30501,Gainesville,GA,34.32,-83.81,28048
28104,Matthews,NC,35.1,-80.7,28040
08611,Trenton,NJ,40.18,-74.74,28038
93401,San Luis Obispo,CA,35.2,-120.6,28033
11729,Deer Park,NY,40.76,-73.32,28032
07748,Middletown,NJ,40.4,-74.11,28030
13905,Binghamton,NY,42.2,-76.0,28026
40065,Shelbyville,KY,38.2,-85.2,28025
78411,Corpus Christi,TX,27.73,-97.39,28024
94608,Emeryville,CA,37.83,-122.29,28019
77086,Houston,TX,29.92,-95.49,28009
40503,Lexington,KY,38.0,-84.53,28003
48204,Detroit,MI,42.37,-83.14,27997
17257,Shippensburg,PA,40.0,-77.5,27996
22041,Falls Church,VA,38.85,-77.14,27989
20121,Centreville,VA,38.82,-77.46,27988
50023,Ankeny,IA,41.73,-93.64,27986
75032,Rockwall,TX,32.9,-96.4,27986
84128,Salt Lake City,UT,40.7,-112.04,27983
82901,Rock Springs,WY,41.6,-108.9,27971
60452,Oak Forest,IL,41.61,-87.76,27969
76901,San Angelo,TX,31.6,-100.6,27969
79106,Amarillo,TX,35.21,-101.89,27967
77033,Houston,TX,29.67,-95.34,27965
42001,Paducah,KY,37.1,-88.6,27960
53703,Madison,WI,43.08,-89.38,27958
98296,Snohomish,WA,47.9,-122.1,27956
68506,Lincoln,NE,40.78,-96.64,27952
73703,Enid,OK,36.4,-98.0,27951
60827,Riverdale,IL,41.65,-87.63,27946
98004,Bellevue,WA,47.62,-122.21,27946
98272,Monroe,WA,47.9,-121.8,27942
47933,Crawfordsville,IN,40.0,-86.9,27937
38053,Millington,TN,35.4,-89.9,27932
46825,Fort Wayne,IN,41.15,-85.11,27931
91607,Valley Village,CA,34.16,-118.4,27927
68123,Bellevue,NE,41.11,-95.95,27926
90713,Lakewood,CA,33.85,-118.11,27925
32221,Jacksonville,FL,30.25,-81.85,27918
98607,Camas,WA,45.7,-122.4,27899
15212,Pittsburgh,PA,40.47,-80.01,27895
89503,Reno,NV,39.54,-119.84,27891
36526,Daphne,AL,30.6,-87.86,27890
95219,Stockton,CA,38.03,-121.42,27884
19454,North Wales,PA,40.22,-75.24,27870
08520,Hightstown,NJ,40.25,-74.54,27869
29456,Ladson,SC,32.99,-80.12,27864
55448,Minneapolis,MN,45.17,-93.32,27863
06405,Branford,CT,41.28,-72.8,27860
62221,Belleville,IL,38.51,-89.9,27858
95603,Auburn,CA,38.9,-121.1,27844
33919,Fort Myers,FL,26.56,-81.9,27837
47421,Bedford,IN,38.9,-86.5,27831
36532,Fairhope,AL,30.5,-87.9,27829
75605,Longview,TX,32.6,-94.7,27823
55422,Minneapolis,MN,45.01,-93.34,27820
00678,Quebradillas,PR,18.43,-66.93,27819
70461,Slidell,LA,30.3,-89.7,27818
46176,Shelbyville,IN,39.5,-85.8,27816
70503,Lafayette,LA,30.17,-92.06,27816
22601,Winchester,VA,39.17,-78.17,27813
33150,Miami,FL,25.85,-80.21,27811
71457,Natchitoches,LA,31.7,-93.1,27809
75038,Irving,TX,32.88,-96.98,27802
89156,Las Vegas,NV,36.3,-114.7,27794
85351,Sun City,AZ,33.6,-112.28,27789
95204,Stockton,CA,37.98,-121.32,27786
45750,Marietta,OH,39.4,-81.4,27785
78108,Cibolo,TX,29.57,-98.22,27770
44515,Youngstown,OH,41.1,-80.76,27766
21015,Bel Air,MD,39.6,-76.3,27763
73162,Oklahoma City,OK,35.58,-97.64,27758
45459,Dayton,OH,39.65,-84.17,27749
39466,Picayune,MS,30.5,-89.6,27738
93035,Oxnard,CA,34.1,-119.3,27732
79701,Midland,TX,31.99,-102.08,27728
29609,Greenville,SC,34.91,-82.39,27722
48213,Detroit,MI,42.4,-82.99,27712
34990,Palm City,FL,27.1,-80.4,27707
85375,Sun City West,AZ,33.67,-112.36,27703
10013,New York,NY,40.72,-74.01,27700
88011,Las Cruces,NM,32.3,-106.7,27698
43119,Galloway,OH,39.94,-83.21,27698
97502,Central Point,OR,42.4,-122.9,27694
98367,Port Orchard,WA,47.5,-122.7,27693
91324,Northridge,CA,34.24,-118.55,27669
80602,Brighton,CO,39.96,-104.91,27665
48135,Garden City,MI,42.33,-83.34,27665
19604,Reading,PA,40.36,-75.91,27658
11741,Holbrook,NY,40.8,-73.07,27655
92008,Carlsbad,CA,33.13,-117.31,27649
76262,Roanoke,TX,33.01,-97.23,27648
43062,Pataskala,OH,40.0,-82.7,27644
20814,Bethesda,MD,39.0,-77.11,27642
11542,Glen Cove,NY,40.87,-73.62,27633
61614,Peoria,IL,40.76,-89.6,27628
